Country,Lat,Lon,Pop_2020,Pop_2025,Pop_2030,Pop_2035,Pop_2040,Pop_2045,Pop_2050,Pop_2055,Pop_2060
Afghanistan,33.93911,67.709953,36594776,41014912,45502800,49971066,54403080,58812822,63197340,67577016,71937932
Albania,41.153332,20.168331,3080930,3111630,3116046,3088040,3034478,2967267,2894358,2816714,2731175
Algeria,28.033886,1.659626,42952039,45851248,48244797,50313187,52324677,54338351,56117140,57467008,58348042
American Samoa,-14.270972,-170.132217,47392,43268,40465,37849,35465,33300,31305,29456,27753
Andorra,42.546245,1.601554,85722,85266,84694,83961,82745,80790,78031,74626,70878
Angola,-11.202692,17.873887,32521837,38462677,45368533,53282768,62132777,71766569,82021832,92754338,103836310
Anguilla,18.220554,-63.068615,18066,19753,21425,23061,24636,26132,27546,28881,30154
Antigua and Barbuda,17.060816,-61.796428,98012,103769,109213,114077,118234,121744,124705,127251,129488
Argentina,-38.416097,-63.616672,45479650,47363817,49141744,50803301,52338598,53731198,54950409,55975733,56794892
Armenia,40.069099,45.038189,3021483,2963837,2892342,2813532,2726880,2629539,2521147,2405068,2284720
Aruba,12.52111,-69.968338,119496,126402,132753,138571,143940,148961,153739,158367,162914
Australia,-25.274398,133.775136,25467706,27062848,28467091,29791638,31042695,32236019,33374282,34463825,35510244
Austria,47.516231,14.550072,8856348,8994273,9110865,9202329,9275403,9335849,9383858,9415061,9431988
Azerbaijan,40.143105,47.576927,10207465,10545208,10814481,11031759,11201444,11314678,11361504,11345036,11277764
"Bahamas, The",25.03428,-77.39628,349655,364136,377025,387949,396840,403808,408923,412263,414047
Bahrain,25.930414,50.637772,1504665,1579544,1638583,1700439,1758250,1805489,1847256,1883505,1912262
Bangladesh,23.684994,90.356331,162532538,170183916,177171302,183161334,187970717,191663230,194343726,196009463,196569652
Barbados,13.193887,-59.543198,301001,304794,307119,307710,306371,303116,298257,292316,285866
Belarus,53.709807,27.953389,9468822,9321125,9154191,8987651,8825382,8653917,8461760,8251956,8032615
Belgium,50.503887,4.469936,11708235,12039272,12309925,12539867,12751772,12938620,13095652,13229707,13351912
Belize,17.189877,-88.49765,398890,432605,466151,499528,532186,563238,592243,619068,643738
Benin,9.30769,2.315834,12861152,15186090,17817552,20785031,24133443,27894671,32070919,36635781,41554035
Bermuda,32.321384,-64.75737,71818,73007,73763,74001,73694,72889,71717,70408,69184
Bhutan,27.514162,90.433601,848893,890440,928548,962535,992263,1017624,1038469,1053680,1061949
Bolivia,-16.290154,-63.588653,11595674,12406545,13189747,13934744,14635956,15287899,15887720,16425520,16891084
Bosnia and Herzegovina,43.915886,17.679076,3832751,3789077,3730292,3649137,3546651,3429208,3303663,3172527,3037135
Botswana,-22.328474,24.684866,2316910,2483419,2643329,2795948,2940674,3075706,3199855,3312083,3410656
Brazil,-14.235004,-51.92528,212041332,218770689,224738130,229620809,233091770,235167072,236030311,235870048,234771011
Brunei,4.535277,114.727669,464145,498766,532318,563881,593152,620628,646799,671618,694707
Bulgaria,42.733883,25.48583,6965462,6737997,6520697,6315986,6122867,5933661,5740967,5540751,5332226
Burkina Faso,12.238333,-1.561593,20833136,23593920,26350155,29082087,31773209,34402362,36938704,39382623,41722080
Burundi,-3.373056,29.918886,11845890,13976678,16038534,18294904,20687154,23149039,25611635,28123742,30750126
Cabo Verde,16.002082,-24.013197,582153,618014,651173,680565,705949,727635,745776,759984,769753
Cambodia,12.565679,104.990963,17070744,18197423,19211678,20139560,21011192,21825069,22553645,23168979,23663969
Cameroon,7.369722,12.354722,27743599,31812493,36268700,41067264,46191948,51623028,57310971,63229083,69324196
Canada,56.130366,-106.346771,37649603,39066049,40325886,41420185,42378217,43230196,44002894,44720424,45399512
Cayman Islands,19.513469,-80.566956,61952,67816,73499,78906,84010,88819,93381,97784,102123
Central African Republic,6.611111,20.939444,5262642,5750570,6257134,6771878,7290316,7808806,8322885,8828065,9315795
Chad,15.454166,18.732207,16875954,19674004,22766854,26161691,29791449,33570444,37418108,41376095,45487595
Chile,-35.675147,-71.542969,18182486,18775584,19263236,19631668,19890647,20055057,20126545,20108866,20016383
China,35.86166,104.195397,1394015977,1408112997,1408227408,1397564647,1380062271,1357795077,1329570095,1293630106,1250958667
Colombia,4.570868,-74.297333,49828664,52365753,54609191,56511387,58066250,59274375,60125294,60675714,60988395
Comoros,-11.875001,43.872219,852094,911707,969172,1026481,1081645,1130810,1172195,1206171,1233753
Congo [DRC],-0.228021,15.827659,101768560,119038825,138707855,160911174,185489254,212193547,240710111,271193858,303887875
Congo [Republic],-4.038333,21.758664,5292798,5947721,6673430,7472548,8336934,9250619,10192844,11158833,12153679
Cook Islands,-21.236736,-159.777671,8539,7592,6877,6328,5905,5593,5392,5241,5092
Costa Rica,9.748917,-83.753428,5096857,5357562,5587779,5785418,5951190,6085892,6188395,6259193,6300532
Côte d'Ivoire,7.539989,-5.54708,27470185,30622609,33888868,37217421,40544542,43795589,46939672,49997716,52970197
Croatia,45.1,15.2,4229585,4131508,4036866,3939174,3836284,3730291,3623602,3516963,3411254
Cuba,21.521757,-77.781167,11058573,10948294,10842995,10703968,10537139,10338941,10100436,9815275,9499574
Curaçao,12.19565294,-68.99635161,151370,153693,155167,155690,155404,154512,153245,151814,150313
Cyprus,35.126413,33.429859,1267376,1332293,1381021,1413331,1431463,1436653,1428212,1408383,1380462
Czechia,49.817492,15.472962,10698037,10701859,10660225,10602485,10558701,10520771,10470774,10395267,10288850
Denmark,56.26392,9.501785,5868927,5999028,6118770,6215716,6292361,6356609,6416507,6475919,6534099
Djibouti,11.825138,42.590275,919627,1013703,1104996,1189701,1265825,1332840,1391020,1441523,1484856
Dominica,15.414999,-61.370976,74522,74642,74169,73032,71328,69142,66443,63679,61488
Dominican Republic,18.735693,-70.162651,10498946,10977927,11415619,11799644,12124973,12394081,12608829,12767881,12868429
Ecuador,-1.831239,-78.183406,16894461,17861804,18755861,19561162,20263542,20858769,21348217,21737759,22027710
Egypt,26.820553,30.802498,104112503,115491730,126267002,136897648,147774447,158839657,169688822,179936124,189457564
El Salvador,13.794185,-88.89653,6480810,6647448,6696777,6693932,6648499,6578045,6492154,6387171,6252245
Equatorial Guinea,1.650801,10.267895,837428,936516,1037209,1137485,1235881,1331191,1422494,1510665,1595922
Eritrea,15.179384,39.782334,6088682,6416435,6836545,7353464,7909918,8436844,8921842,9372037,9794168
Estonia,58.595272,25.013607,1228296,1184655,1138017,1093594,1052590,1012359,970580,927138,883523
Eswatini,-26.522503,31.465866,1104638,1145871,1182302,1216135,1249423,1281325,1309186,1329943,1342234
Ethiopia,9.145,40.489673,108108470,122130956,136593170,151372229,166333560,181277414,195982344,210492059,224813883
Faroe Islands,61.892635,-6.911806,51624,53264,54784,55974,56866,57621,58360,59104,59793
Fiji,-16.578193,179.414413,935139,955284,971912,986402,999352,1010336,1018845,1023814,1024276
Finland,61.92411,25.748151,5572355,5636997,5668706,5671447,5659269,5640640,5620077,5600359,5581304
France,46.227638,2.213749,67858873,68945586,69922460,70717443,71222181,71426718,71416579,71280247,71060969
French Polynesia,-17.679742,-149.406843,294891,305507,314150,320833,325697,328816,330218,329897,327966
Gabon,-0.803689,11.609444,2230332,2513738,2817886,3132314,3449328,3765634,4081893,4401794,4724582
"Gambia, The",13.443182,-15.310139,2180783,2380272,2571762,2757220,2937180,3110122,3273409,3422865,3554956
Gaza Strip,31.354676,34.308825,1917031,2118587,2321163,2520726,2713073,2893632,3060115,3213636,3354289
Georgia,42.315407,43.356892,4930665,4936025,4923484,4904446,4883071,4856274,4815328,4757579,4688132
Germany,51.165691,10.451526,80069820,79214926,78280827,77266405,76174730,75009851,73785643,72531344,71336769
Ghana,7.946527,-1.023194,31643281,35336133,39138651,43079646,47163292,51317502,55437373,59448189,63316279
Gibraltar,36.137741,-5.345374,29459,29733,29878,29806,29565,29258,28946,28626,28229
Greece,39.074208,21.824312,10604841,10424536,10242709,10066836,9895646,9713202,9504172,9268234,9016470
Greenland,71.706936,-42.604303,57797,57713,57309,56560,55575,54494,53424,52403,51455
Grenada,12.262776,-61.604171,113165,114915,115917,116330,116418,116313,116072,115633,114879
Guam,13.444304,144.793731,168489,169691,169855,168908,166864,163733,159508,154717,150053
Guatemala,15.783471,-90.230759,17140193,18525963,19842090,21096354,22290211,23412438,24442800,25357316,26138559
Guernsey,49.465691,-2.585278,67173,67923,68482,68819,68946,68920,68777,68527,68190
Guinea,9.945587,-9.696645,12527271,14374590,16464555,18812686,21431015,24329616,27517931,30964593,34612833
Guinea-Bissau,11.803749,-15.180413,1927022,2187293,2484003,2817191,3186964,3593345,4036411,4510845,5008087
Guyana,4.860416,-58.93018,786653,796742,813805,830909,840800,843985,843728,841427,836501
Haiti,18.971187,-72.285215,11061439,11737686,12387574,12999321,13561784,14070475,14521985,14900973,15207985
Honduras,15.199999,-86.241905,9232097,9790452,10320557,10819671,11265038,11638031,11934762,12161701,12325291
Hong Kong,22.396428,114.109497,7248206,7305556,7315166,7271766,7178952,7049539,6890901,6705273,6500795
Hungary,47.162494,19.503304,9756400,9608199,9439076,9254346,9062397,8865907,8664334,8453313,8228207
Iceland,64.963051,-19.020835,350773,367086,380558,391869,401876,410488,417620,423391,428054
India,20.593684,78.96288,1325349639,1393557984,1456093286,1510935664,1556475013,1593580010,1623588384,1645908279,1660506849
Indonesia,-0.789275,113.921327,272856400,283587097,293084824,301603148,308923886,314615052,318393046,320309273,320660487
Iran,32.427908,53.688046,84982541,89145704,92447770,95163155,97539495,99549531,100972304,101610551,101418157
Iraq,33.223191,43.679291,38828885,42917742,47088189,51251890,55363280,59339806,63087363,66577491,69817126
Ireland,53.41291,-8.24389,5173463,5419212,5648610,5875210,6097670,6303876,6478153,6619197,6736100
Isle of Man,54.236107,-4.548056,90381,92666,94274,95321,95893,96026,95693,95002,94125
Israel,31.046051,34.851612,8659792,9302514,9962165,10637373,11309911,11954993,12563059,13140844,13695173
Italy,41.87194,12.56738,62335424,62608419,62882083,63150636,63386654,63525657,63505757,63299311,62946882
Jamaica,18.109581,-77.297508,2815048,2826742,2845660,2869074,2896357,2929345,2972457,3019597,3061362
Japan,36.204824,138.252924,125135727,122664433,119732022,116494761,113086546,109615226,106156887,102683541,99081689
Jersey,49.214439,-2.13125,100782,103944,106283,107852,108818,109506,110111,110628,110999
Jordan,30.585164,36.238414,10819966,11312507,12264310,13207868,14113122,14955988,15735443,16461809,17136875
Kazakhstan,48.019573,66.923684,19085226,19815814,20415211,20944420,21467369,21966766,22380770,22675178,22871143
Kenya,-0.023559,37.906193,53513653,59446843,65581608,71838265,78029635,83970900,89573347,94942551,100157642
Kiribati,-3.370417,-168.734039,111814,117702,123278,128289,132560,136164,139289,142036,144299
"Korea, North",40.339852,127.510093,25701731,26282295,26704049,26986455,27151565,27220540,27200057,27103587,26939552
"Korea, South",35.907757,127.766922,51577174,52189955,52578760,52598115,52189080,51396446,50217135,48686856,46946992
Kosovo,42.602636,20.902977,1922449,1989330,2056700,2116469,2166563,2204993,2230859,2244873,2248730
Kuwait,29.31166,47.481766,2995271,3172511,3336613,3492016,3638826,3774252,3896539,4007695,4110128
Kyrgyzstan,41.20438,74.766098,5963777,6219751,6437647,6635711,6819278,6978747,7097955,7173077,7210711
Laos,19.85627,102.495496,7463435,8010834,8517019,8978362,9404151,9790435,10135600,10436399,10686455
Latvia,56.879635,24.603189,1883186,1780740,1679841,1586003,1499908,1419172,1341195,1265659,1193651
Lebanon,33.854721,35.862285,5463514,5396599,5539588,5652938,5729450,5760316,5744987,5690466,5600620
Lesotho,-29.609988,28.233608,2162195,2244643,2333091,2423048,2507728,2580445,2638694,2685850,2725744
Liberia,6.428055,-9.429499,5073054,5810893,6626505,7520214,8483299,9501362,10557787,11654333,12791170
Libya,26.3351,17.228331,6890637,7464417,7922470,8369582,8839688,9311267,9734776,10073160,10327324
Liechtenstein,47.166,9.555373,39137,40547,41831,42897,43729,44382,44924,45396,45836
Lithuania,55.169438,23.881275,2739816,2600838,2468224,2346636,2238244,2140115,2050440,1967978,1893639
Luxembourg,49.815273,6.129583,628615,681340,727545,769014,808762,847137,884664,921451,957074
Macau,22.198745,113.543873,625295,648666,666617,679863,689476,695593,697801,695532,689170
Madagascar,-18.766947,46.869107,26898646,30093073,33281950,36418409,39485505,42471930,45355015,48134693,50795335
Malawi,-13.254308,34.301525,19822929,22244356,24645259,27022619,29367856,31661017,33877000,35988062,37972560
Malaysia,4.210484,101.975766,33164013,34905275,36519679,37957793,39217435,40325234,41286972,42087828,42716266
Maldives,3.202778,73.22068,391104,388010,401487,416544,429282,440417,449604,455949,458743
Mali,17.570692,-3.996166,19552681,22634423,26038433,29679103,33534254,37534404,41603635,45615633,49468544
Malta,35.937496,14.375416,457270,471946,480049,484290,486347,488028,490187,492401,493457
Marshall Islands,7.131474,171.184478,77741,83037,88030,92725,96929,100480,103319,105490,107001
Mauritania,21.00789,-10.940835,3997059,4411326,4829890,5249163,5665182,6072947,6467891,6849564,7216189
Mauritius,-20.348404,57.552152,1378798,1413197,1440732,1459632,1469614,1471544,1466976,1457417,1443957
Mexico,23.634501,-102.552784,128840997,135469930,141490000,146766153,151195144,154681150,157139913,158707868,159533228
"Micronesia, Federated States of",7.425554,150.550812,102320,98860,94828,90317,85414,80246,74899,69813,65366
Moldova,47.411631,28.369885,3360212,3176315,2989022,2802592,2621878,2450198,2287079,2138798,2009915
Monaco,43.750298,7.412841,31066,32047,33062,33636,33745,33393,32661,31777,30928
Mongolia,46.862496,103.846656,3168648,3306373,3411431,3497963,3578101,3649504,3699569,3720545,3715669
Montenegro,42.708678,19.37439,609786,597174,582062,563539,542316,519245,494545,472017,456072
Montserrat,16.742498,-62.187366,5359,5499,5634,5707,5703,5645,5546,5414,5245
Morocco,31.791702,-7.09262,35558805,37158367,38590883,39881462,41040143,42056312,42903770,43558119,44018194
Mozambique,-18.665695,35.529562,30097734,34206144,38878965,44206049,50121595,56530226,63366021,70566916,78055625
Myanmar [Burma],21.913965,95.956223,56599075,58814493,60691085,62244488,63468972,64341799,64837457,64974849,64800276
Namibia,-22.95764,18.49041,2629632,2878336,3137073,3398921,3658088,3910077,4151610,4381595,4599148
Nauru,-0.522778,166.931503,9728,9930,10122,10351,10631,10963,11329,11686,11995
Nepal,28.394857,84.124008,30175326,31334402,32340917,33250249,34035993,34703481,35274683,35716902,35974118
Netherlands,52.132633,5.291266,17274001,17588011,17871948,18096999,18248576,18341061,18405073,18466766,18538888
New Caledonia,-20.904305,165.618042,290033,307612,324192,339444,353269,365748,376851,386473,394571
New Zealand,-40.900557,174.885971,4925334,5207259,5412025,5591053,5746399,5879696,5990813,6084413,6165734
Nicaragua,12.865416,-85.207229,6186056,6474148,6738689,6953360,7113201,7222622,7287372,7310009,7285886
Niger,17.607789,8.081666,22759615,27322555,32731179,38971565,45998038,53741290,62099731,70912769,80163916
Nigeria,9.081999,8.675277,213986428,242794751,275155380,310623710,348390982,387782040,428438012,470861435,515386289
North Macedonia,41.608635,21.745275,2125463,2137556,2141940,2135941,2120581,2099476,2074629,2044727,2008015
Northern Mariana Islands,17.33083,145.38469,51851,50946,50211,49497,48442,46984,45315,43731,42423
Norway,60.472024,8.468946,5465387,5684847,5888748,6069685,6231630,6380739,6518282,6643953,6757183
Oman,21.512583,55.923255,3624823,3969824,4294464,4594402,4877371,5152426,5421335,5674214,5896269
Pakistan,30.375321,69.345116,233431156,257047044,280266050,303043639,325197856,346445113,366569839,385628839,403522132
Palau,7.51498,134.58252,21532,21947,22341,22628,22730,22662,22478,22233,21987
Panama,8.537981,-80.782127,3883101,4106921,4316209,4504910,4669106,4806261,4915055,4998993,5061439
Papua New Guinea,-6.314993,143.95555,7280577,7872906,8450877,9006379,9529923,10014546,10459291,10866164,11232882
Paraguay,-23.442503,-58.443832,7188930,7604044,7984647,8305805,8566166,8777991,8954539,9096149,9191872
Peru,-9.189967,-75.015152,31914710,33290825,34488852,35478372,36269570,36880916,37313594,37563234,37628817
Philippines,12.879721,121.774017,109168180,117483500,125888017,134229598,142378002,150237852,157726578,164812451,171434510
Poland,51.919438,19.145136,38270292,37764255,37074111,36269582,35406220,34482878,33491484,32425640,31294094
Portugal,39.399872,-8.224454,10288283,10194277,10140270,10083359,10002607,9883354,9728863,9546579,9342623
Puerto Rico,18.220833,-66.590149,3190410,2984841,2818318,2646152,2469336,2303946,2163684,2048626,1957948
Qatar,25.354826,51.183884,2447179,2568426,2605180,2587812,2567716,2570504,2586967,2612014,2642169
Romania,45.943161,24.96676,21310245,20897710,20459961,20001376,19519157,19009973,18469567,17876288,17217746
Russia,61.52401,105.318756,142588206,141008099,139142980,137323001,135676131,133880610,131733062,129332623,126898188
Rwanda,-1.940278,29.873888,12709485,13848766,14972757,16065002,17142030,18177389,19133170,19985031,20728494
Saint Barthelemy,17.90139314,-62.83815028,7131,7079,7048,6997,6915,6818,6721,6636,6571
"Saint Helena, Ascension, and Tristan da Cunha",-15.95816014,-5.712591797,7903,7950,7962,7935,7858,7734,7569,7369,7146
Saint Kitts and Nevis,17.27685952,-62.68863693,53799,55434,56712,57569,57969,57937,57519,56772,55756
Saint Lucia,13.909444,-60.978893,166141,168462,170206,171168,171166,170100,167817,163985,158637
Saint Martin,18.09216964,-63.04661966,32560,33093,33560,34033,34481,34866,35182,35451,35689
Saint Pierre and Miquelon,46.941936,-56.27111,5384,5070,4767,4475,4194,3930,3685,3457,3237
Saint Vincent and the Grenadines,12.984305,-61.287228,101334,100498,99793,98989,97954,96710,95383,93919,92232
Samoa,-13.759029,-172.104629,203662,210223,217452,224906,232248,239456,246912,254305,261007
San Marino,43.94236,12.457777,34247,35291,36158,36771,37050,36966,36514,35800,34963
Sao Tome and Principe,0.18636,6.613081,210728,226722,242511,258415,274531,290654,306603,321686,335227
Saudi Arabia,23.885942,45.079162,34223743,37172774,40069904,42536636,44689927,46514510,47966097,49063317,49870218
Senegal,14.497401,-14.452362,15722089,17551353,19431152,21338523,23250842,25139698,26981869,28782455,30537301
Serbia,44.016521,21.005859,7007664,6844377,6684026,6518601,6344368,6165353,5986996,5809519,5629561
Seychelles,-4.679574,55.491977,95726,98724,100875,102137,102534,102151,101082,99406,97216
Sierra Leone,8.460555,-11.779889,6643834,7514384,8507203,9605315,10807557,12110811,13507692,14980994,16509544
Singapore,1.352083,103.819836,5810285,6080545,6324769,6536522,6712580,6853565,6959346,7028373,7063348
Sint Maarten,18.03672702,-63.05239364,43991,46738,49080,50943,52378,53463,54257,54876,55470
Slovakia,48.669026,19.699024,5439808,5410115,5353517,5275705,5185411,5085052,4972634,4844820,4701255
Slovenia,46.151241,14.995463,2102452,2095577,2079316,2059546,2038939,2014803,1983776,1946333,1905804
Solomon Islands,-9.64571,160.156194,678494,738774,798015,855336,909782,960552,1006932,1048559,1084942
Somalia,5.152149,46.199616,11818529,13356562,15138837,16987551,18867903,20759265,22655319,24593588,26587043
South Africa,-30.559482,22.937506,56434963,59090298,61485567,63582370,65446929,67089133,68434347,69481713,70289452
South Sudan,7.725702875,30.06112402,10560984,13300066,15309115,17304109,19360800,21466512,23592886,25784590,28075939
Spain,40.463667,-3.74922,47272945,47156961,46975396,46782769,46539771,46131190,45427620,44400526,43142717
Sri Lanka,7.873054,80.771797,22895756,23590176,24186861,24706443,25134659,25437022,25595389,25627216,25562860
Sudan,12.862807,30.217636,45544096,51767437,58881738,66369914,73923749,81387831,88749624,96211063,103858870
Suriname,3.919305,-56.027783,609085,636587,661738,684071,702295,715826,724761,729625,731232
Sweden,60.128161,18.643501,10185555,10556435,10878744,11157797,11426608,11696304,11952697,12181745,12379044
Switzerland,46.818188,8.227512,8398489,8672954,8934194,9172236,9393639,9610596,9822717,10020522,10202782
Syria,34.802075,38.996815,19392460,24261882,26206286,28091447,29924439,31694029,33355509,34853886,36161204
Taiwan,23.69781,120.960515,23563036,23600776,23601754,23481565,23185353,22725928,22132472,21429631,20646303
Tajikistan,38.861034,71.276093,8860396,9493925,10084649,10643899,11171635,11657036,12088991,12460245,12769080
Tanzania,-6.369028,34.888822,60362612,69311326,79022692,89502233,100625421,112240774,124222573,136504805,149012254
Thailand,15.870032,100.992541,69291926,70025248,70280684,70086586,69428181,68308383,66768316,64901811,62828177
Timor-Leste,-8.874217,125.727539,1382948,1537499,1685975,1824351,1951975,2071285,2184155,2291433,2391904
Togo,8.619543,0.824782,8076517,9134446,10255480,11447738,12708399,14015458,15344759,16688672,18041362
Tonga,-21.178986,-175.198242,106010,104519,102487,100169,97392,94047,90196,88739,89852
Trinidad and Tobago,10.691803,-61.222503,1224177,1204363,1176862,1147141,1118445,1091222,1064940,1037270,1006892
Tunisia,33.886917,9.537499,11719458,12115018,12372114,12553077,12708273,12837035,12895172,12845815,12694922
Turkey,38.963745,35.243322,82009212,84625585,86892512,88693414,89951885,90615273,90656580,90121878,89098451
Turkmenistan,38.969719,59.556278,5522684,5795896,6027837,6216739,6374645,6511718,6627470,6712130,6757599
Turks and Caicos Islands,21.694025,-71.797928,56095,61504,66725,71821,76817,81634,86092,90041,93448
Tuvalu,-7.109535,177.64933,11350,11824,12228,12551,12829,13090,13341,13567,13735
Uganda,1.373333,32.290275,43249944,50863850,59136233,67953747,77275388,87001576,96972729,107247846,117847348
Ukraine,48.379433,31.16558,43903662,42849568,41679088,40597628,39580308,38538818,37422979,36240597,35041296
United Arab Emirates,23.424076,53.847818,9792173,10093593,10479358,10965355,11473536,11955935,12429115,12869683,13253704
United Kingdom,55.378051,-3.435973,65731269,67292324,68698632,69939841,71071316,72094665,72967167,73693061,74311107
United States,37.09024,-95.712891,332639102,344234377,355100730,364862145,373527973,381390297,388922201,396557404,404483055
Uruguay,-32.522779,-55.765835,3389361,3434298,3475266,3504442,3533156,3551551,3560420,3560882,3551551
Uzbekistan,41.377491,64.585262,30575754,31849722,32916581,33775322,34486116,35081953,35560973,35865922,35946084
Vanuatu,-15.376706,166.959158,297953,322915,347041,370413,392732,413574,432719,449951,465167
Venezuela,6.42375,-66.58973,28612153,31755435,33060119,34187388,35141116,35917969,36513281,36933721,37183691
Vietnam,14.058324,108.277199,101745119,106688169,110900897,114434819,117338534,119568023,121027926,121748314,121833805
"Virgin Islands, British",18.43272728,-64.55419237,37146,40830,44356,47666,50763,53583,56060,58133,59741
"Virgin Islands, U.S.",18.335765,-64.896335,106290,103792,100282,96072,91566,86971,82348,77833,73666
Wallis and Futuna,-13.768752,-177.156097,15809,15998,16104,16126,16090,16031,15971,15875,15699
West Bank,31.96005001,35.23955629,2898556,3151594,3396868,3628844,3846518,4050436,4240579,4414079,4566442
Western Sahara,24.215527,-12.885834,652464,735500,820536,906888,993793,1080412,1166075,1250807,1334350
Yemen,15.552727,48.516388,29810956,32707684,35493132,38207444,40848556,43361928,45693399,47807185,49677410
Zambia,-13.133897,27.849332,18523385,21390969,24493818,27807418,31280029,34852418,38476482,42124057,45770141
Zimbabwe,-19.015438,29.154857,14546146,16030110,17627637,19323074,21114947,22963762,24837643,26720636,28588118
